experiment,collection_window,metric,scope,sample_index,value,unit
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C10,3,181166.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C11,0,640369.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C11,1,237638.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C11,2,203985.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C11,3,201387.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C12,0,583515.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C12,1,212345.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C12,2,187176.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C12,3,185145.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C13,0,589640.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C13,1,205412.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C13,2,178209.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C13,3,177845.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C14,0,602721.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C14,1,227706.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C14,2,192482.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C14,3,196179.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C15,0,638536.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C15,1,229693.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C15,2,201299.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C15,3,197676.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C0,0,8867.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C0,1,3229.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C0,2,2701.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C0,3,2696.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C1,0,8814.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C1,1,3091.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C1,2,2606.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C1,3,2590.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C2,0,8731.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C2,1,3069.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C2,2,2517.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C2,3,2600.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C3,0,8645.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C3,1,2976.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C3,2,2484.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C3,3,2502.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C4,0,8831.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C4,1,2990.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C4,2,2533.0,transactions
correlation-fio-randwrite-cores1,pcm_cha,drd_inserts,SKT0C4,3,2534.0,transactions
